spid,mbid,wdid
1FXFyWXLIdOVgjR0MaRa9y,2acbf27a-caaf-31b7-92fc-b68428f02eae,http://www.wikidata.org/entity/Q2242905
0Euqj04HraTJjES0m1KlT7,7817786f-e1fb-37ed-a995-9f1696555047,http://www.wikidata.org/entity/Q2268928
5Bd99eGJKXoRMnqgqWlWmp,8f91c5cb-5496-4904-a284-60946a6a0849,http://www.wikidata.org/entity/Q23762945
7Ff7he6c7fzyMhAakcoD2e,1bb8e24e-042b-47d7-9eea-46895b62f362,http://www.wikidata.org/entity/Q27541557
3JQ0S6ej6zCRtB735207WI,f4034a74-42af-46cb-8166-434d43958f91,http://www.wikidata.org/entity/Q23893970
6z9wliRZWrGDAA9pWWo4ga,db13871d-f604-317b-84bc-5165e2af9e75,http://www.wikidata.org/entity/Q3082525
1C18s8bELJ42BKmiyGHk3D,16192822-b414-48ee-8217-ce380a4679c7,http://www.wikidata.org/entity/Q19832970
3OnYTme1XFbVgDdXrVSt4Y,61903cf5-022b-442e-b2bd-e19e67760b43,http://www.wikidata.org/entity/Q39877980
5AgsHUKFxr5DApRCmulIqJ,6915423e-352a-42ac-b5a4-55bb004d7eb5,http://www.wikidata.org/entity/Q27816903
0EOOcVnVE7g7NUtWKWwEiC,0e4aec15-0d35-473b-b5b2-6ff68d96122e,http://www.wikidata.org/entity/Q19980022
4JSxcVM4fUnaluGVtKRBo7,0e4aec15-0d35-473b-b5b2-6ff68d96122e,http://www.wikidata.org/entity/Q19980022
5S80RBncl91xSCBjHK1YDh,0e4aec15-0d35-473b-b5b2-6ff68d96122e,http://www.wikidata.org/entity/Q19980022
6g0IK3D3b4p0WoQceoj3rI,84b1797c-b1d5-3918-84c7-6ff45db06e48,http://www.wikidata.org/entity/Q11151025
3nywgxTt4m4CwcIJDmHp5k,3d5cf880-8e92-3e2a-9598-34bc28fb618c,http://www.wikidata.org/entity/Q3328558
0AnY3dM6l3JkFRXRnZ8gnO,dcf6160d-bd50-434a-ba1b-5576bca86326,http://www.wikidata.org/entity/Q15894143
43xfQgLbHhMCxvCRN8uSZC,d2deeffc-cb7f-40f3-b467-f11d0f6bed88,http://www.wikidata.org/entity/Q28075821
2rcVzoJgeJp77Vxsmhu04N,1a9e080c-90a9-488f-90e4-a37720487598,http://www.wikidata.org/entity/Q11862190
1KEc2wV2788yuWy3tD2M6M,59d60d55-d70f-4b60-9f60-8759fc437888,http://www.wikidata.org/entity/Q11897181
2okmUsYO1BSztGoGQzEpVt,71579e7f-eaaa-4378-abe8-93e470c893f5,http://www.wikidata.org/entity/Q28127597
3xTjv8BYqGpK61oHV1tVWE,7d192204-5267-4df9-90b8-db2f801e56fd,http://www.wikidata.org/entity/Q28213007
2ZWlYSdcjy5DnKUgjfVTdg,40fca996-b005-43a2-9d6c-f30ed51258a9,http://www.wikidata.org/entity/Q12033213
0a5LE8ZiJ9TVEjEUt9hWwp,2b6122f4-6243-481d-a40f-c1a0dbbed67b,http://www.wikidata.org/entity/Q15978397
4gu8Mbjzw8j58gBtsuAcvn,a25d75da-ede7-470a-8bde-40dc2020eb08,http://www.wikidata.org/entity/Q15978396
0kkqE2xOrbNiMxQjz2Lppy,27b76eca-7399-4cd1-b5ec-77d7cb667bf1,http://www.wikidata.org/entity/Q16533053
1YvZFj8jR5YmXdlxfLyO5c,d7b4f26c-802e-48a7-acf3-b4f0cd10cdb0,http://www.wikidata.org/entity/Q16543354
4FR8Z6TvIsC56NLyNomNRE,2b85ba4e-53bf-4473-87f5-59d0b53020ad,http://www.wikidata.org/entity/Q7619740
13MrahPNOthyqxNCthgtWl,8925785f-d396-4c43-84ed-f81d7938fc3e,http://www.wikidata.org/entity/Q20899660
0X4Lkfful3UzcgbcAFo9FW,104908f1-4a17-40c9-ba32-dfa8367e5dc5,http://www.wikidata.org/entity/Q22996821
4ed396DIJzjxBdzLaR7Sj9,bdac4106-d4ce-42b9-8492-faadc4267639,http://www.wikidata.org/entity/Q22996801
1kB1JHjOXSn3qn1OQhISpF,7e2573b5-514a-4553-8478-419b32f38826,http://www.wikidata.org/entity/Q22996849
3hKXxwpu4EnmZPqKpLn7RF,5627d2af-dc78-44fb-bb0e-c72cdb1b4e8b,http://www.wikidata.org/entity/Q30610936
1ZMYMTP0S4hp9AlGkAWWjt,c8567f15-949e-46ce-862f-144a8a072dbe,http://www.wikidata.org/entity/Q22338688
3r4sWlUXFFvobv8CM0raPW,1a27fd2a-0c21-3864-b62f-94e976c8bb94,http://www.wikidata.org/entity/Q6984644
1EuM46kMdMqCU3erHNbjeG,06ce8c29-f6b9-48f2-be05-9d59aa022197,http://www.wikidata.org/entity/Q14942394
3ar3gv14DQ9QnmF9n3D90G,,http://www.wikidata.org/entity/Q3732805
32nwCXJIrQRPp6u9ISHTtM,8118577f-eccc-4e66-aa36-f8e8d3995c1b,http://www.wikidata.org/entity/Q15896835
2IhOruNJPxV2gyg0X4tO9u,,http://www.wikidata.org/entity/Q4019333
0r7wrRVD77lNrD9t2QgZrq,160d64d4-75ee-4097-a3a8-3c1d690c0d94,http://www.wikidata.org/entity/Q39400914
6KYVV0B7UV2N0A4dOzQTfq,160d64d4-75ee-4097-a3a8-3c1d690c0d94,http://www.wikidata.org/entity/Q39400914
4m6FG39cYxwEpUGSlZKP4X,,http://www.wikidata.org/entity/Q7554511
3grFdu9ifNh6mrZt9VIqx4,,http://www.wikidata.org/entity/Q5562711
5w8DcSo1ADxf8usiMxHeCn,,http://www.wikidata.org/entity/Q5684873
3TC40H9dIJArFzy0rWnWCg,c59fce38-537a-4cf6-87b9-35cb934e1ba8,http://www.wikidata.org/entity/Q27883122
5U9Wk8V8M2bBtna8YC33z1,e0fbaa4e-8a42-46ff-bb1a-a2d634bd82c2,http://www.wikidata.org/entity/Q7577698
0OB9EsykpiyNnAWSuahzW4,8116cbb1-a6af-37fd-b3dc-9df1b36067ba,http://www.wikidata.org/entity/Q3493133
6R2FtEWqwuXUgmyb0NETpv,84d9ea63-9157-3ca0-889b-b267a5e77d51,http://www.wikidata.org/entity/Q3521606
1F3K98YETxJiZJ2CZK8a8s,e42e29de-f7eb-4a92-9c21-82d08ec08a0b,http://www.wikidata.org/entity/Q27971624
7my50IHQ8dDCTN5GyNUtg6,cef47e01-3eb3-400c-917e-aa49c9a7465b,http://www.wikidata.org/entity/Q28038454
5iQ5gJAzxGCTOoSW3DkCic,235403fa-b68f-4263-b11e-883ca3caf98e,http://www.wikidata.org/entity/Q28053824
3wApZLQ7N3HzcWwQNEOaQe,d5566936-fbf3-4a7b-a4c1-23312bd1c1ee,http://www.wikidata.org/entity/Q28053873
3Mic6x7qINO73mosC0jRM5,62f2cc04-7896-3413-9dba-e8f6e9352f08,http://www.wikidata.org/entity/Q12029471
51HvYFrGD6zo2TX2CXEWU9,62f2cc04-7896-3413-9dba-e8f6e9352f08,http://www.wikidata.org/entity/Q12029471
3V3XFmoZrXsAsEXWDicmyd,,http://www.wikidata.org/entity/Q20988105
